ID,Date,DateStamp,Total,Type
1,2019-09-19,2019-09-19 14:33:40.827,13584,0
2,2019-09-20,2019-09-20 05:10:10.790,22857,0
3,2019-09-23,2019-09-23 21:56:57.130,1,0
4,2019-09-23,2019-09-23 22:01:49.223,1,0
5,2019-09-23,2019-09-23 22:05:39.740,1,0
6,2019-09-23,2019-09-23 22:11:30.107,3,0
7,2019-09-23,2019-09-23 22:23:26.840,3,0
8,2019-09-23,2019-09-23 22:24:28.220,0,0
9,2019-09-23,2019-09-23 22:25:33.780,2,0
10,2019-09-24,2019-09-24 05:27:58.620,67805,0
11,2019-09-24,2019-09-24 15:09:16.897,2,1
12,2019-09-24,2019-09-24 15:59:42.610,0,1
13,2019-09-24,2019-09-24 16:33:03.633,2,1
14,2019-09-28,2019-09-28 14:28:49.377,137264,1
15,2019-09-30,2019-09-30 14:45:50.490,28393,1
16,2019-10-01,2019-10-01 01:07:32.993,10968,1
17,2019-10-03,2019-10-03 08:19:35.093,135219,1
18,2019-10-04,2019-10-04 23:17:14.163,25798,1
19,2019-10-06,2019-10-06 03:57:09.233,12601,1
20,2019-10-06,2019-10-06 04:10:50.930,88,1
21,2019-10-06,2019-10-06 05:12:43.850,127,1
22,2019-10-06,2019-10-06 07:01:11.680,655,1
23,2019-10-06,2019-10-06 09:02:15.367,2176,1
24,2019-10-06,2019-10-06 13:55:13.757,8445,1
25,2019-10-06,2019-10-06 16:09:12.110,12062,1
26,2019-10-06,2019-10-06 16:29:49.827,13451,1
27,2019-10-06,2019-10-06 19:42:57.540,13600,1
28,2019-10-07,2019-10-07 20:51:05.487,16,1
29,2019-10-07,2019-10-07 20:51:29.080,1,1
30,2019-10-07,2019-10-07 20:58:13.730,0,1
31,2019-10-08,2019-10-08 23:26:04.980,27967,1
32,2019-10-10,2019-10-10 09:45:35.020,18043,1
33,2019-10-10,2019-10-10 21:51:49.090,2,1
34,2019-10-10,2019-10-10 21:51:51.060,14,1
35,2019-10-10,2019-10-10 21:51:52.010,0,1
36,2019-10-11,2019-10-11 10:08:03.757,-4,1
37,2019-10-11,2019-10-11 14:19:41.220,3,1
38,2019-10-11,2019-10-11 20:25:42.443,16,1
39,2019-10-12,2019-10-12 08:59:55.830,-16,1
40,2019-10-12,2019-10-12 21:26:51.860,-17,1
41,2019-10-17,2019-10-17 11:21:31.300,114372,1
42,2019-10-20,2019-10-20 17:37:02.997,53314,1
43,2019-10-23,2019-10-23 09:53:05.047,78449,1
44,2019-10-27,2019-10-27 12:03:49.587,66798,1
45,2019-10-28,2019-10-28 17:34:30.280,4939,1
46,2019-10-29,2019-10-29 14:35:17.360,2,0
47,2019-10-30,2019-10-30 04:30:17.000,172,0
48,2019-10-30,2019-10-30 04:55:16.830,60680,1
49,2019-10-31,2019-10-31 04:30:11.120,12,0
50,2019-11-01,2019-11-01 04:30:10.970,351,0
